date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:00	91959/91959	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:09%20GMT	http://creative-era.com/era/images/flat-template/flat-cyan-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-cyan-variant.svg	(from http://creative-era.com/era/)
10:34:03	91959/91959	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:11%20GMT	http://creative-era.com/era/images/flat-template/flat-orange-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-orange-variant.svg	(from http://creative-era.com/era/)
10:34:07	91959/91959	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:11%20GMT	http://creative-era.com/era/images/flat-template/flat-green-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-green-variant.svg	(from http://creative-era.com/era/)
10:34:11	103032/103032	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:09%20GMT	http://creative-era.com/era/images/flat-template/flat-blue-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-blue-variant.svg	(from http://creative-era.com/era/)
10:34:15	103269/103269	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:14%20GMT	http://creative-era.com/era/images/flat-template/flat-purple-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-purple-variant.svg	(from http://creative-era.com/era/)
10:34:18	103032/103032	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2011%20Dec%202017%2012:25:14%20GMT	http://creative-era.com/era/images/flat-template/flat-pink-variant.svg	E:/theme/comning%20soon/creative-era.com/era/images/flat-template/flat-pink-variant.svg	(from http://creative-era.com/era/)
10:34:19	6284/6284	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Dec%202017%2004:16:14%20GMT	http://creative-era.com/era/index_video.html	E:/theme/comning%20soon/creative-era.com/era/index_video.html	(from http://creative-era.com/era/)
10:34:56	351179/351179	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:36%20GMT	http://creative-era.com/era/images/image-variant-single.png	E:/theme/comning%20soon/creative-era.com/era/images/image-variant-single.png	(from http://creative-era.com/era/)
10:34:56	342289/342289	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2012:24:38%20GMT	http://creative-era.com/era/images/images-variant-slideshow.png	E:/theme/comning%20soon/creative-era.com/era/images/images-variant-slideshow.png	(from http://creative-era.com/era/)
10:34:57	6322/6322	---M--	200	added ('OK')	text/html	date:Wed,%2013%20Dec%202017%2004:16:15%20GMT	http://creative-era.com/era/index_videoYoutube.html	E:/theme/comning%20soon/creative-era.com/era/index_videoYoutube.html	(from http://creative-era.com/era/)
